ID,Institution,OpenAlexInstitutionID,Country,Type,NormName,Topic
150,Scottish Association For Marine Science,https://openalex.org/I88170914,GB,funder,scottish association for marine science,Renewable_Energy_General
151,Zentrum für Rationelle Energieanwendung und Umwelt (Germany),https://openalex.org/I4210129692,DE,company,zentrum für rationelle energieanwendung und umwelt germany,Renewable_Energy_General
152,University of Rostock,https://openalex.org/I4665924,DE,funder,university of rostock,Renewable_Energy_General
153,Food and Agriculture Organization of the United Nations,https://openalex.org/I1320745970,IT,government,food and agriculture organization of the united nations,Renewable_Energy_General
154,Institut de Recherche pour le Développement,https://openalex.org/I1306264927,BJ,government,institut de recherche pour le développement,Unknown
155,University of Zagreb,https://openalex.org/I181343428,HR,funder,university of zagreb,Renewable_Energy_General
156,Institute of Process Engineering,https://openalex.org/I4210133325,CN,facility,institute of process engineering,Solar_Biomass_Production
157,Vienna University of Economics and Business,https://openalex.org/I102248843,AT,education,vienna university of economics and business,Renewable_Energy_General
158,University of Milano-Bicocca,https://openalex.org/I66752286,IT,funder,university of milano-bicocca,Renewable_Energy_General
159,Robert Wood Johnson Foundation,https://openalex.org/I46968129,US,nonprofit,robert wood johnson foundation,Wind_Energy_Impacts
160,International Bamboo and Rattan Organization,https://openalex.org/I1336964347,CN,government,international bamboo and rattan organization,Solar_Biomass_Production
161,Çanakkale Onsekiz Mart Üniversitesi,https://openalex.org/I115953327,TR,funder,çanakkale onsekiz mart üniversitesi,Renewable_Energy_General
162,Umeå University,https://openalex.org/I90267481,SE,funder,umeå university,Renewable_Energy_General
163,University of Nebraska at Omaha,https://openalex.org/I122266389,US,funder,university of nebraska at omaha,Renewable_Energy_General
164,Norwegian University of Life Sciences,https://openalex.org/I54108979,NO,funder,norwegian university of life sciences,Renewable_Energy_General
165,RWTH Aachen University,https://openalex.org/I887968799,DE,funder,rwth aachen university,Solar_Biomass_Production
166,Korea Advanced Institute of Science and Technology,https://openalex.org/I157485424,KR,funder,korea advanced institute of science and technology,Renewable_Energy_General
167,"AGroecologies, Innovations & Ruralities",https://openalex.org/I4210111259,FR,facility,agroecologies innovations ruralities,Renewable_Energy_General
168,European Commission,https://openalex.org/I2800387288,BE,government,european commission,Renewable_Energy_General
169,Agrifood Research Finland,https://openalex.org/I4210163838,FI,government,agrifood research finland,Renewable_Energy_General
170,Tsinghua University,https://openalex.org/I99065089,CN,funder,tsinghua university,Renewable_Energy_General
171,Centro Agronomico Tropical de Investigacion y Ensenanza Catie,https://openalex.org/I1282913463,CR,education,centro agronomico tropical de investigacion y ensenanza catie,Unknown
172,Durham University,https://openalex.org/I190082696,GB,funder,durham university,Renewable_Energy_General
173,"Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas",https://openalex.org/I4210165411,ES,funder,centro de investigaciones energéticas medioambientales y tecnológicas,Renewable_Energy_General
174,Lawrence University,https://openalex.org/I153592363,US,education,lawrence university,Renewable_Energy_General
175,Griffith University,https://openalex.org/I11701301,AU,funder,griffith university,Renewable_Energy_General
176,University of Bologna,https://openalex.org/I9360294,IT,funder,university of bologna,Renewable_Energy_General
177,Aberystwyth University,https://openalex.org/I16038530,GB,funder,aberystwyth university,Renewable_Energy_General
178,Kiel Institute for the World Economy,https://openalex.org/I1308524038,DE,funder,kiel institute for the world economy,Renewable_Energy_General
179,National University of Singapore,https://openalex.org/I165932596,SG,funder,national university of singapore,Renewable_Energy_General
180,Aarhus University,https://openalex.org/I204337017,DK,funder,aarhus university,Renewable_Energy_General
181,Columbia University,https://openalex.org/I78577930,US,funder,columbia university,Renewable_Energy_General
182,World Wildlife Fund,https://openalex.org/I4210097148,US,nonprofit,world wildlife fund,Renewable_Energy_General
183,Università degli Studi del Piemonte Orientale “Amedeo Avogadro”,https://openalex.org/I123338534,IT,funder,università degli studi del piemonte orientale amedeo avogadro,Hydropower_Aquatic
184,Université Paris Dauphine-PSL,https://openalex.org/I56435720,FR,education,université paris dauphine-psl,Renewable_Energy_General
185,The University of Melbourne,https://openalex.org/I165779595,AU,funder,the university of melbourne,Renewable_Energy_General
186,University of Massachusetts Amherst,https://openalex.org/I24603500,US,funder,university of massachusetts amherst,Renewable_Energy_General
187,Institut de Biologia Evolutiva,https://openalex.org/I4210135169,ES,facility,institut de biologia evolutiva,Renewable_Energy_General
188,Lund University,https://openalex.org/I187531555,SE,funder,lund university,Renewable_Energy_General
189,Danish Centre for Marine Research,https://openalex.org/I4210090208,DK,facility,danish centre for marine research,Renewable_Energy_General
190,ICAR Research Complex for NEH Region,https://openalex.org/I4210111975,IN,funder,icar research complex for neh region,Solar_Biomass_Production
191,University of Rome Tor Vergata,https://openalex.org/I116067653,IT,funder,university of rome tor vergata,Renewable_Energy_General
192,United States Geological Survey,https://openalex.org/I1286329397,US,government,united states geological survey,Renewable_Energy_General
193,University of Salento,https://openalex.org/I142910587,IT,funder,university of salento,Renewable_Energy_General
194,University of Otago,https://openalex.org/I80281795,NZ,funder,university of otago,Renewable_Energy_General
195,Tokushima University,https://openalex.org/I922474255,JP,funder,tokushima university,Unknown
196,Max Planck Institute for Biogeochemistry,https://openalex.org/I4210154168,DE,facility,max planck institute for biogeochemistry,Renewable_Energy_General
197,Oregon State University,https://openalex.org/I131249849,US,funder,oregon state university,Renewable_Energy_General
198,Memorial University of Newfoundland,https://openalex.org/I130438778,CA,funder,memorial university of newfoundland,Wind_Energy_Impacts
199,University of Oslo,https://openalex.org/I184942183,NO,funder,university of oslo,Renewable_Energy_General
200,University of Zielona Góra,https://openalex.org/I46305939,PL,education,university of zielona góra,Renewable_Energy_General
201,Danish Technological Institute,https://openalex.org/I3019169596,DK,nonprofit,danish technological institute,Hydropower_Aquatic
202,Agricultural University of Athens,https://openalex.org/I109954829,GR,funder,agricultural university of athens,Renewable_Energy_General
203,University of Hull,https://openalex.org/I191240316,GB,funder,university of hull,Renewable_Energy_General
204,Khon Kaen University,https://openalex.org/I179193067,TH,funder,khon kaen university,Renewable_Energy_General
205,Eastern Mediterranean University,https://openalex.org/I36515993,CY,education,eastern mediterranean university,Renewable_Energy_General
206,University of Alberta,https://openalex.org/I154425047,CA,funder,university of alberta,Renewable_Energy_General
207,Ghent University,https://openalex.org/I32597200,BE,funder,ghent university,Renewable_Energy_General
208,University of Bath,https://openalex.org/I51601045,GB,funder,university of bath,Renewable_Energy_General
209,University of Lausanne,https://openalex.org/I97565354,CH,funder,university of lausanne,Renewable_Energy_General
210,Freie Universität Berlin,https://openalex.org/I75951250,DE,funder,freie universität berlin,Renewable_Energy_General
211,University of Coimbra,https://openalex.org/I76903346,PT,funder,university of coimbra,Renewable_Energy_General
212,Université Laval,https://openalex.org/I43406934,CA,funder,université laval,Renewable_Energy_General
213,University of York,https://openalex.org/I52099693,GB,funder,university of york,Renewable_Energy_General
214,Royal Society for the Protection of Birds,https://openalex.org/I135070504,GB,nonprofit,royal society for the protection of birds,Wind_Energy_Impacts
215,Argonne National Laboratory,https://openalex.org/I1282105669,US,funder,argonne national laboratory,Renewable_Energy_General
216,University of Helsinki,https://openalex.org/I133731052,FI,funder,university of helsinki,Renewable_Energy_General
217,TOBB University of Economics and Technology,https://openalex.org/I13236232,TR,education,tobb university of economics and technology,Wind_Energy_Impacts
218,Natural England,https://openalex.org/I1326116301,GB,government,natural england,Renewable_Energy_General
219,École Polytechnique Fédérale de Lausanne,https://openalex.org/I5124864,CH,funder,école polytechnique fédérale de lausanne,Renewable_Energy_General
220,Monash University,https://openalex.org/I56590836,AU,funder,monash university,Renewable_Energy_General
221,New York State College of Agriculture & Life Sciences,https://openalex.org/I4210092791,US,education,new york state college of agriculture life sciences,Renewable_Energy_General
222,Tufts University,https://openalex.org/I121934306,US,funder,tufts university,Renewable_Energy_General
223,IHE Delft Institute for Water Education,https://openalex.org/I2799973717,NL,education,ihe delft institute for water education,Renewable_Energy_General
224,Giessen School of Theology,https://openalex.org/I4210148049,DE,education,giessen school of theology,Renewable_Energy_General
225,Peking University,https://openalex.org/I20231570,CN,funder,peking university,Renewable_Energy_General
226,"University of Agricultural Sciences, Dharwad",https://openalex.org/I139046659,IN,funder,university of agricultural sciences dharwad,Renewable_Energy_General
227,Université du Québec à Rimouski,https://openalex.org/I182451676,CA,funder,université du québec à rimouski,Wind_Energy_Impacts
228,Universidad Complutense de Madrid,https://openalex.org/I121748325,ES,funder,universidad complutense de madrid,Renewable_Energy_General
229,University of Waterloo,https://openalex.org/I151746483,CA,funder,university of waterloo,Renewable_Energy_General
230,University of Illinois Urbana-Champaign,https://openalex.org/I157725225,US,funder,university of illinois urbana-champaign,Renewable_Energy_General
231,Cornell University,https://openalex.org/I205783295,US,funder,cornell university,Renewable_Energy_General
232,Stockholm University,https://openalex.org/I161593684,SE,funder,stockholm university,Renewable_Energy_General
233,"Centre for Environment, Fisheries and Aquaculture Science",https://openalex.org/I1332124652,GB,funder,centre for environment fisheries and aquaculture science,Renewable_Energy_General
234,Humboldt-Universität zu Berlin,https://openalex.org/I39343248,DE,funder,humboldt-universität zu berlin,Renewable_Energy_General
235,Biologie des Organismes et Écosystèmes Aquatiques,https://openalex.org/I4210110009,FR,facility,biologie des organismes et écosystèmes aquatiques,Renewable_Energy_General
236,University of Saskatchewan,https://openalex.org/I32625721,CA,funder,university of saskatchewan,Renewable_Energy_General
237,Conway School of Landscape Design,https://openalex.org/I4210152127,US,education,conway school of landscape design,Renewable_Energy_General
238,University of Hawaii System,https://openalex.org/I1331384533,US,funder,university of hawaii system,Renewable_Energy_General
239,Cosmos Corporation (United States),https://openalex.org/I4210166451,US,company,cosmos corporation united states,Renewable_Energy_General
240,University of Lisbon,https://openalex.org/I141596103,PT,funder,university of lisbon,Renewable_Energy_General
241,Universitat de Barcelona,https://openalex.org/I71999127,ES,funder,universitat de barcelona,Renewable_Energy_General
242,University of Sheffield,https://openalex.org/I91136226,GB,funder,university of sheffield,Renewable_Energy_General
243,Universiti Putra Malaysia,https://openalex.org/I130343225,MY,funder,universiti putra malaysia,Renewable_Energy_General
244,Norwegian Institute for Nature Research,https://openalex.org/I4210153706,NO,funder,norwegian institute for nature research,Renewable_Energy_General
245,University of Birmingham,https://openalex.org/I79619799,GB,funder,university of birmingham,Wind_Energy_Impacts
246,Centre d'Etudes Biologiques de Chizé,https://openalex.org/I4210095510,FR,facility,centre detudes biologiques de chizé,Renewable_Energy_General
247,Dorset Green Technology Park,https://openalex.org/I4210160310,GB,archive,dorset green technology park,Wind_Energy_Impacts
248,University of Trás-os-Montes and Alto Douro,https://openalex.org/I155381812,PT,funder,university of trás-os-montes and alto douro,Renewable_Energy_General
249,University of Southampton,https://openalex.org/I43439940,GB,funder,university of southampton,Renewable_Energy_General
250,Research Institute for Sustainability at GFZ,https://openalex.org/I4210107867,DE,facility,research institute for sustainability at gfz,Renewable_Energy_General
251,New South Wales Department of Primary Industries,https://openalex.org/I2801559191,AU,government,new south wales department of primary industries,Hydropower_Aquatic
252,Whitehead Institute for Biomedical Research,https://openalex.org/I4210157710,US,funder,whitehead institute for biomedical research,Hydropower_Aquatic
253,Terrestrial Ecosystem Research Network,https://openalex.org/I4210140832,AU,facility,terrestrial ecosystem research network,Renewable_Energy_General
254,North Carolina State University,https://openalex.org/I137902535,US,funder,north carolina state university,Renewable_Energy_General
255,University of Reading,https://openalex.org/I71052956,GB,funder,university of reading,Renewable_Energy_General
256,University of Bristol,https://openalex.org/I36234482,GB,funder,university of bristol,Wind_Energy_Impacts
257,Agroscope,https://openalex.org/I4210139035,CH,funder,agroscope,Renewable_Energy_General
258,National Renewable Energy Laboratory,https://openalex.org/I1297288678,US,funder,national renewable energy laboratory,Renewable_Energy_General
259,University of Cumbria,https://openalex.org/I96698942,GB,funder,university of cumbria,Renewable_Energy_General
260,Experimental Station,https://openalex.org/I4210105766,US,other,experimental station,Renewable_Energy_General
261,Forestry Research Institute of Sweden,https://openalex.org/I2799877368,SE,funder,forestry research institute of sweden,Renewable_Energy_General
262,University of Computer Sciences and Economics in Olsztyn,https://openalex.org/I4210115435,PL,education,university of computer sciences and economics in olsztyn,Renewable_Energy_General
263,Institute for Interdisciplinary Studies of Austrian Universities,https://openalex.org/I134023368,AT,education,institute for interdisciplinary studies of austrian universities,Renewable_Energy_General
264,University of Dayton,https://openalex.org/I127591826,US,funder,university of dayton,Hydropower_Aquatic
