ID,Author,ORCID,OpenAlexAuthorID,NormName,Topic
24,Manuel Nogales,0000-0002-5327-3104,https://openalex.org/A5055276875,manuel nogales,Renewable_Energy_General
25,Henri Theil,0000-0002-8634-4781,https://openalex.org/A5113443214,henri theil,Hydropower_Aquatic
26,Dylan Warren Raffa,0009-0002-6077-174X,https://openalex.org/A5046009946,dylan warren raffa,Renewable_Energy_General
27,Hideyuki Saito,0000-0001-8992-7950,https://openalex.org/A5101768943,hideyuki saito,Solar_Biomass_Production
28,Ellen L. Rotheray,,https://openalex.org/A5026500458,ellen l rotheray,Renewable_Energy_General
29,Zygmunt Kącki,0000-0002-2241-1631,https://openalex.org/A5001092896,zygmunt kącki,Solar_Biomass_Production
30,D. Dennis Konadu,0000-0002-9164-0665,https://openalex.org/A5025377794,d dennis konadu,Renewable_Energy_General
31,Lee R. Lynd,0000-0002-5642-668X,https://openalex.org/A5046628962,lee r lynd,Renewable_Energy_General
32,Arnold Tukker,0000-0002-8229-2929,https://openalex.org/A5082838900,arnold tukker,Renewable_Energy_General
33,Ingeborg Callesen,0000-0001-5729-8686,https://openalex.org/A5073313148,ingeborg callesen,Renewable_Energy_General
34,Dmitri Chatskikh,,https://openalex.org/A5011933770,dmitri chatskikh,Renewable_Energy_General
35,Daisy Brickhill,,https://openalex.org/A5015023881,daisy brickhill,Renewable_Energy_General
36,John L. Neufeld,,https://openalex.org/A5033227003,john l neufeld,Renewable_Energy_General
37,Richard Brock,,https://openalex.org/A5067039993,richard brock,Renewable_Energy_General
38,Brandon M. Casper,,https://openalex.org/A5108288853,brandon m casper,Renewable_Energy_General
39,Bernhard Truffer,0000-0002-8635-0911,https://openalex.org/A5084071391,bernhard truffer,Renewable_Energy_General
40,Paul Ekins,0000-0003-1975-434X,https://openalex.org/A5037286967,paul ekins,Renewable_Energy_General
41,Miren del Rı́o,0000-0001-7496-3713,https://openalex.org/A5050583844,miren del rıo,Renewable_Energy_General
42,V S Krishnamurthy Chennubhotla,,https://openalex.org/A5083392798,v s krishnamurthy chennubhotla,Renewable_Energy_General
43,Mahmood Zoghi,0000-0002-0070-1275,https://openalex.org/A5036505817,mahmood zoghi,Renewable_Energy_General
44,José Rafael Garrido,0000-0003-1951-5699,https://openalex.org/A5013561181,josé rafael garrido,Renewable_Energy_General
45,Masakazu Murata,,https://openalex.org/A5108791928,masakazu murata,Renewable_Energy_General
46,Andrew L. Stephenson,0000-0002-6803-4333,https://openalex.org/A5088588223,andrew l stephenson,Wind_Energy_Impacts
47,Gerd Sparovek,0000-0001-8301-8529,https://openalex.org/A5084787605,gerd sparovek,Renewable_Energy_General
48,Paul Denholm,0000-0001-7128-4643,https://openalex.org/A5018973449,paul denholm,Renewable_Energy_General
49,Christopher Todd,0000-0002-9690-2839,https://openalex.org/A5051849070,christopher todd,Renewable_Energy_General
50,David T. Tsao,,https://openalex.org/A5062603990,david t tsao,Renewable_Energy_General
51,James Barry,0000-0002-4263-8999,https://openalex.org/A5063727900,james barry,Wind_Energy_Impacts
52,Nor Alafiza Yunus,0000-0002-1911-8872,https://openalex.org/A5084548641,nor alafiza yunus,Solar_Biomass_Production
53,Philipp Fischer,0000-0002-3357-5420,https://openalex.org/A5041583196,philipp fischer,Renewable_Energy_General
54,Juan Manuel Pérez‐García,0000-0002-1191-0187,https://openalex.org/A5014403448,juan manuel pérezgarcía,Renewable_Energy_General
55,Adeline Janus,0000-0001-7423-2793,https://openalex.org/A5003827087,adeline janus,Renewable_Energy_General
56,Dominik Röser,,https://openalex.org/A5113908017,dominik röser,Renewable_Energy_General
57,Joanna M. Burgar,0000-0003-4724-5286,https://openalex.org/A5002807335,joanna m burgar,Wind_Energy_Impacts
58,Krzysztof Jajuga,0000-0002-5624-6929,https://openalex.org/A5022193007,krzysztof jajuga,Renewable_Energy_General
59,Annelies De Meyer,0000-0001-8457-7808,https://openalex.org/A5028035598,annelies de meyer,Renewable_Energy_General
60,K. F. S. King,,https://openalex.org/A5006597548,k f s king,Unknown
61,W. R. A. Muntz,,https://openalex.org/A5062183651,w r a muntz,Wind_Energy_Impacts
62,Amy Rose,,https://openalex.org/A5078735884,amy rose,Renewable_Energy_General
63,E. Wakker,,https://openalex.org/A5035710307,e wakker,Renewable_Energy_General
64,Reinhold Kosfeld,0000-0002-8815-6039,https://openalex.org/A5084296002,reinhold kosfeld,Renewable_Energy_General
65,Patrick Lavelle,0000-0002-2127-1067,https://openalex.org/A5061640430,patrick lavelle,Renewable_Energy_General
66,Ricardo F. M. Teixeira,0000-0001-9915-6264,https://openalex.org/A5058180548,ricardo f m teixeira,Renewable_Energy_General
67,Gábor Horváth,0000-0002-9008-2411,https://openalex.org/A5035415336,gábor horváth,Renewable_Energy_General
68,Jasmin Kemper,0000-0003-3680-8063,https://openalex.org/A5014050600,jasmin kemper,Solar_Biomass_Production
69,Krish Homagain,0000-0001-7879-4654,https://openalex.org/A5063170833,krish homagain,Renewable_Energy_General
70,Rien van der Leeden,,https://openalex.org/A5020763759,rien van der leeden,Land_Use_Bioenergy
71,E.A. Alsema,0000-0002-0502-0591,https://openalex.org/A5010095874,ea alsema,Renewable_Energy_General
72,Andrew Want,0000-0003-1626-3975,https://openalex.org/A5073920647,andrew want,Hydropower_Aquatic
73,Jeffrey H. R. Goddard,0000-0003-1682-8438,https://openalex.org/A5015708651,jeffrey h r goddard,Hydropower_Aquatic
74,Juha Lappi,0000-0001-8157-3131,https://openalex.org/A5045405133,juha lappi,Hydropower_Aquatic
75,Yngve Nilsen,,https://openalex.org/A5048801892,yngve nilsen,Renewable_Energy_General
76,Jane E. Austin,0000-0001-8775-2210,https://openalex.org/A5008437337,jane e austin,Wind_Energy_Impacts
77,Richard Coles,,https://openalex.org/A5111373405,richard coles,Wind_Energy_Impacts
78,Agnieszka Makarewicz-Marcinkiewicz,0000-0002-0501-4810,https://openalex.org/A5072178377,agnieszka makarewicz-marcinkiewicz,Renewable_Energy_General
79,Nicola Zaccarelli,0000-0002-3146-0910,https://openalex.org/A5023859764,nicola zaccarelli,Renewable_Energy_General
80,C. Kempenaar,,https://openalex.org/A5047792864,c kempenaar,Renewable_Energy_General
81,Ramesh Jain,0000-0003-2373-4966,https://openalex.org/A5010478919,ramesh jain,Renewable_Energy_General
82,James Sample,0000-0002-0861-3982,https://openalex.org/A5051379161,james sample,Renewable_Energy_General
83,Olivia Langhamer,0000-0002-5518-7277,https://openalex.org/A5073485601,olivia langhamer,Renewable_Energy_General
84,Richard B.Forward Jr Richard A.Tankersley,,https://openalex.org/A5005497625,richard bforward jr richard atankersley,Wind_Energy_Impacts
85,Andrew R.B. Ferguson,,https://openalex.org/A5091548098,andrew rb ferguson,Renewable_Energy_General
86,Beth A. Giron Pendleton,,https://openalex.org/A5085703203,beth a giron pendleton,Renewable_Energy_General
87,Raveendran Sindhu,0000-0002-7368-3792,https://openalex.org/A5089148923,raveendran sindhu,Renewable_Energy_General
88,Wann‐Nian Tzeng,,https://openalex.org/A5108473246,wannnian tzeng,Wind_Energy_Impacts
89,Thomas Kaufmann,0000-0003-3565-6790,https://openalex.org/A5031812816,thomas kaufmann,Solar_Biomass_Production
90,Jiansheng Liang,0000-0001-7080-9532,https://openalex.org/A5042251752,jiansheng liang,Renewable_Energy_General
91,Wilhelm Ripl,,https://openalex.org/A5058682095,wilhelm ripl,Renewable_Energy_General
92,Jacopo Bacenetti,0000-0002-9188-4475,https://openalex.org/A5060754857,jacopo bacenetti,Renewable_Energy_General
93,Amandine Erktan,0000-0002-7007-4625,https://openalex.org/A5053410539,amandine erktan,Solar_Biomass_Production
94,Pascual Eduardo Murillo-Alvarado,0000-0002-6982-437X,https://openalex.org/A5076499751,pascual eduardo murillo-alvarado,Renewable_Energy_General
95,Ricardo de Oliveira Bordonal,0000-0001-5957-2909,https://openalex.org/A5040355059,ricardo de oliveira bordonal,Renewable_Energy_General
96,Beth E. Scott,0000-0001-5412-3952,https://openalex.org/A5051689046,beth e scott,Wind_Energy_Impacts
97,Maximilian Lackner,0000-0002-2673-7495,https://openalex.org/A5045794499,maximilian lackner,Renewable_Energy_General
98,Rubén Angeriz-Campoy,0000-0002-3790-9475,https://openalex.org/A5003692779,rubén angeriz-campoy,Renewable_Energy_General
99,Daniel Hellerstein,0000-0003-0933-8676,https://openalex.org/A5056423443,daniel hellerstein,Renewable_Energy_General
100,R. H. Whittaker,,https://openalex.org/A5009075114,r h whittaker,Hydropower_Aquatic
101,Janine Le Roux,,https://openalex.org/A5083791919,janine le roux,Wind_Energy_Impacts
102,E. Hoehn,,https://openalex.org/A5001037431,e hoehn,Renewable_Energy_General
103,H. T. Odum,,https://openalex.org/A5109933214,h t odum,Renewable_Energy_General
104,S. Marshall Adams,,https://openalex.org/A5111621749,s marshall adams,Hydropower_Aquatic
105,Elissandro Monteiro do Sacramento,0000-0003-4808-7224,https://openalex.org/A5055879345,elissandro monteiro do sacramento,Renewable_Energy_General
106,Tuija Mattsson,0000-0002-5629-8374,https://openalex.org/A5086120966,tuija mattsson,Renewable_Energy_General
107,Amna Butt,,https://openalex.org/A5112525516,amna butt,Renewable_Energy_General
108,S. van der Schaaf,,https://openalex.org/A5112643914,s van der schaaf,Renewable_Energy_General
109,Thomas L. Saaty,0000-0002-1304-7663,https://openalex.org/A5059080063,thomas l saaty,Renewable_Energy_General
110,Alan J. Franzluebbers,0000-0003-0739-0913,https://openalex.org/A5038719083,alan j franzluebbers,Renewable_Energy_General
111,Josep Piñol,0000-0002-4067-3301,https://openalex.org/A5074086630,josep piñol,Renewable_Energy_General
112,Haley Viehman,0000-0002-0472-3551,https://openalex.org/A5075996310,haley viehman,Wind_Energy_Impacts
113,Stefania Solinas,0000-0003-1123-3304,https://openalex.org/A5038023189,stefania solinas,Renewable_Energy_General
114,Graham Brookes,,https://openalex.org/A5112799389,graham brookes,Renewable_Energy_General
115,Farzam Tavankar,0000-0002-2308-0934,https://openalex.org/A5021085025,farzam tavankar,Renewable_Energy_General
116,Ana Luísa Almaça da Cruz Fernando,0000-0001-9270-3982,https://openalex.org/A5091570973,ana luísa almaça da cruz fernando,Renewable_Energy_General
117,Yunjian Luo,0000-0002-7358-5797,https://openalex.org/A5046766797,yunjian luo,Renewable_Energy_General
118,Gerd Müller,,https://openalex.org/A5111895591,gerd müller,Renewable_Energy_General
119,Kabindra Adhikari,0000-0002-1365-7015,https://openalex.org/A5067337987,kabindra adhikari,Renewable_Energy_General
120,David E. Andersen,0000-0001-9535-3404,https://openalex.org/A5075135327,david e andersen,Renewable_Energy_General
121,Jan Emblemsvåg,0000-0003-2237-0283,https://openalex.org/A5046418444,jan emblemsvåg,Renewable_Energy_General
122,A.J. Veldhuis,,https://openalex.org/A5016331590,aj veldhuis,Renewable_Energy_General
123,Frederik Geth,,https://openalex.org/A5108478659,frederik geth,Renewable_Energy_General
124,Li Yee Phoon,,https://openalex.org/A5003422332,li yee phoon,Solar_Biomass_Production
125,A. D. Hawkins,0000-0002-1866-9859,https://openalex.org/A5031408219,a d hawkins,Renewable_Energy_General
126,Qinglong Xie,0000-0002-1760-0753,https://openalex.org/A5063498539,qinglong xie,Renewable_Energy_General
127,Hakan Özer,0000-0002-8788-1597,https://openalex.org/A5005349464,hakan özer,Renewable_Energy_General
128,Jan Reubens,0000-0002-9823-5670,https://openalex.org/A5033277655,jan reubens,Renewable_Energy_General
129,Elizabeth Gosling,0000-0003-3816-509X,https://openalex.org/A5041123263,elizabeth gosling,Renewable_Energy_General
130,Mehdi Farahnak,0000-0002-0209-1028,https://openalex.org/A5076566587,mehdi farahnak,Renewable_Energy_General
131,R. Bissoli,,https://openalex.org/A5105195059,r bissoli,Renewable_Energy_General
132,S. BRA ̊KENHIELM,,https://openalex.org/A5097056630,s bra kenhielm,Renewable_Energy_General
133,Eric Wolanski,0000-0002-2947-1688,https://openalex.org/A5016210863,eric wolanski,Wind_Energy_Impacts
134,Roger Fouquet,0000-0003-4732-0821,https://openalex.org/A5031823546,roger fouquet,Renewable_Energy_General
135,Junnian Song,0000-0002-9301-8001,https://openalex.org/A5017517875,junnian song,Renewable_Energy_General
136,Armağan Aloe Karabulut,0000-0002-7344-3262,https://openalex.org/A5069049450,armağan aloe karabulut,Renewable_Energy_General
137,Robert Ε. Kohler,0000-0002-2590-0553,https://openalex.org/A5049768745,robert ε kohler,Renewable_Energy_General
138,Henrik Skov,0000-0001-8835-3166,https://openalex.org/A5102987681,henrik skov,Unknown
139,J. B. Jones,0000-0002-0773-2007,https://openalex.org/A5074979472,j b jones,Solar_Biomass_Production
140,Rebekah Shirley,0000-0003-2333-2246,https://openalex.org/A5012648448,rebekah shirley,Renewable_Energy_General
141,Imran Pancha,,https://openalex.org/A5007644808,imran pancha,Renewable_Energy_General
142,Lonneke L. IJsseldijk,0000-0001-7288-9118,https://openalex.org/A5082412843,lonneke l ijsseldijk,Renewable_Energy_General
143,Kim Scoullar,,https://openalex.org/A5060894214,kim scoullar,Renewable_Energy_General
144,P. Nannipieri,0000-0002-5488-2593,https://openalex.org/A5085326722,p nannipieri,Renewable_Energy_General
145,Mark Z. Jacobson,0000-0002-4315-4128,https://openalex.org/A5052364466,mark z jacobson,Renewable_Energy_General
146,Costanza Calzolari,0000-0002-2126-9290,https://openalex.org/A5011027757,costanza calzolari,Renewable_Energy_General
147,Martin Bloemendal,0000-0002-7059-8525,https://openalex.org/A5079990544,martin bloemendal,Renewable_Energy_General
148,Cândida Gomes Vale,0000-0003-1764-8607,https://openalex.org/A5072183274,cândida gomes vale,Wind_Energy_Impacts
149,Michel Deshaies,,https://openalex.org/A5046298357,michel deshaies,Renewable_Energy_General
150,Igor Linkov,0000-0002-0823-8107,https://openalex.org/A5066135816,igor linkov,Renewable_Energy_General
151,Justin Kitzes,0000-0001-7839-3594,https://openalex.org/A5073601081,justin kitzes,Solar_Biomass_Production
152,Thomas Gibon,0000-0002-2778-8825,https://openalex.org/A5023046157,thomas gibon,Renewable_Energy_General
153,Mauro Carolli,0000-0001-9625-8441,https://openalex.org/A5032648106,mauro carolli,Renewable_Energy_General
154,Andrea Pulvirenti,0000-0002-8479-8878,https://openalex.org/A5071618228,andrea pulvirenti,Solar_Biomass_Production
155,Jonathan Aguilar,0000-0001-7061-6212,https://openalex.org/A5061828989,jonathan aguilar,Renewable_Energy_General
156,Sérgio Ulgiati,0000-0001-6159-4947,https://openalex.org/A5076923860,sérgio ulgiati,Renewable_Energy_General
157,Core Writing Team,,https://openalex.org/A5070004199,core writing team,Renewable_Energy_General
158,M. Siti Alwani,,https://openalex.org/A5026310020,m siti alwani,Renewable_Energy_General
159,W. E. Stephens,0000-0002-0884-8722,https://openalex.org/A5086164382,w e stephens,Solar_Biomass_Production
160,Matthias Wilnhammer,,https://openalex.org/A5081237420,matthias wilnhammer,Renewable_Energy_General
161,Aino Smolander,0000-0002-0406-5069,https://openalex.org/A5088214232,aino smolander,Renewable_Energy_General
162,Thomas C. Brown,0000-0002-8347-7546,https://openalex.org/A5103278178,thomas c brown,Renewable_Energy_General
163,Deborah A. Neher,0000-0002-9647-8783,https://openalex.org/A5002326354,deborah a neher,Renewable_Energy_General
164,Bo Söderström,0000-0002-7118-3575,https://openalex.org/A5007843339,bo söderström,Wind_Energy_Impacts
165,Günter Clar,,https://openalex.org/A5014472059,günter clar,Renewable_Energy_General
166,Leonard E. Ripley,,https://openalex.org/A5045742118,leonard e ripley,Renewable_Energy_General
167,Pat Hutchings,0000-0001-7521-3930,https://openalex.org/A5002930065,pat hutchings,Renewable_Energy_General
168,Donald I. Bleiwas,,https://openalex.org/A5084432615,donald i bleiwas,Solar_Biomass_Production
169,Leo Posthuma,0000-0003-0399-5499,https://openalex.org/A5064788888,leo posthuma,Renewable_Energy_General
170,Jorge Brenner Guillermo,,https://openalex.org/A5013636217,jorge brenner guillermo,Renewable_Energy_General
171,Guyonne Janss,0000-0003-4318-6602,https://openalex.org/A5006421253,guyonne janss,Renewable_Energy_General
172,Ryan M. Yonk,0000-0001-8789-5000,https://openalex.org/A5050509992,ryan m yonk,Renewable_Energy_General
173,William Solesbury,,https://openalex.org/A5016002316,william solesbury,Wind_Energy_Impacts
174,Carole Vallet,,https://openalex.org/A5108098025,carole vallet,Renewable_Energy_General
175,Peter Schwarzbauer,0000-0002-8547-8008,https://openalex.org/A5001911672,peter schwarzbauer,Renewable_Energy_General
176,Bing Yu,0000-0003-3220-2865,https://openalex.org/A5101981805,bing yu,Renewable_Energy_General
177,S. Messner,,https://openalex.org/A5108501286,s messner,Renewable_Energy_General
178,Johan C. Winterwerp,,https://openalex.org/A5112195598,johan c winterwerp,Hydropower_Aquatic
179,André Musy,,https://openalex.org/A5108350996,andré musy,Hydropower_Aquatic
180,Jingxin Wang,,https://openalex.org/A5115590862,jingxin wang,Renewable_Energy_General
181,Pieter Johannes Verkerk,0000-0001-5322-8007,https://openalex.org/A5058680437,pieter johannes verkerk,Renewable_Energy_General
182,K. Robert Clarke,,https://openalex.org/A5111846094,k robert clarke,Hydropower_Aquatic
183,Timo Pakkala,,https://openalex.org/A5109217780,timo pakkala,Renewable_Energy_General
184,Christiane Herrmann,0000-0002-0485-3655,https://openalex.org/A5018118146,christiane herrmann,Solar_Biomass_Production
185,Laurence Palmowski,,https://openalex.org/A5004278017,laurence palmowski,Wind_Energy_Impacts
186,Ileana Pătru-Stupariu,0000-0002-0026-5274,https://openalex.org/A5043906558,ileana pătru-stupariu,Renewable_Energy_General
187,My Carlsson,,https://openalex.org/A5035034790,my carlsson,Renewable_Energy_General
188,Hildebrand Frey,,https://openalex.org/A5111466500,hildebrand frey,Renewable_Energy_General
189,Yan Zhang,0000-0001-7833-0091,https://openalex.org/A5100456149,yan zhang,Renewable_Energy_General
190,Naomi Parker,,https://openalex.org/A5069276091,naomi parker,Renewable_Energy_General
191,Alison J. Stattersfield,,https://openalex.org/A5025411374,alison j stattersfield,Renewable_Energy_General
192,Álvaro Fonseca,0000-0001-9785-9433,https://openalex.org/A5045264552,álvaro fonseca,Renewable_Energy_General
193,Tuğrul Daim,0000-0003-1432-8958,https://openalex.org/A5059934493,tuğrul daim,Renewable_Energy_General
194,Erik Karltun,0000-0002-1317-1146,https://openalex.org/A5078282348,erik karltun,Renewable_Energy_General
195,Caroline Durif,0000-0002-9405-6149,https://openalex.org/A5076804753,caroline durif,Renewable_Energy_General
196,Jonne Kotta,0000-0002-4970-6755,https://openalex.org/A5002671741,jonne kotta,Wind_Energy_Impacts
197,Natália Pezzi Fachinelli,,https://openalex.org/A5051668703,natália pezzi fachinelli,Renewable_Energy_General
198,José C. Noguera,0000-0001-6847-7719,https://openalex.org/A5058673575,josé c noguera,Wind_Energy_Impacts
199,Sam Y. Cross,0000-0001-8703-2854,https://openalex.org/A5042252624,sam y cross,Renewable_Energy_General
200,Bertil Bengtsson,,https://openalex.org/A5075177983,bertil bengtsson,Renewable_Energy_General
201,Ann‐Christin Weibull,,https://openalex.org/A5066525652,annchristin weibull,Solar_Biomass_Production
202,Uwe Stilla,0000-0002-1184-0924,https://openalex.org/A5053008757,uwe stilla,Land_Use_Bioenergy
203,Aaron Assman,,https://openalex.org/A5032638279,aaron assman,Renewable_Energy_General
204,Denise L. Breitburg,0000-0002-5453-6973,https://openalex.org/A5006813852,denise l breitburg,Hydropower_Aquatic
205,Alain F. Zuur,,https://openalex.org/A5111843956,alain f zuur,Renewable_Energy_General
206,Hoori Khaleghian,0000-0001-8134-4814,https://openalex.org/A5020509661,hoori khaleghian,Renewable_Energy_General
207,Jan Sundberg,0000-0003-2072-0382,https://openalex.org/A5081775414,jan sundberg,Renewable_Energy_General
208,Α. Zabaniotou,0000-0003-0197-7131,https://openalex.org/A5020526523,α zabaniotou,Renewable_Energy_General
209,Kevin McGarigal,0000-0002-4949-449X,https://openalex.org/A5056911483,kevin mcgarigal,Renewable_Energy_General
210,G. Berndes,,https://openalex.org/A5079975792,g berndes,Renewable_Energy_General
211,Amitrajeet A. Batabyal,0000-0001-7813-1519,https://openalex.org/A5072639493,amitrajeet a batabyal,Renewable_Energy_General
212,Alejandro Calderón Díaz,,https://openalex.org/A5089032501,alejandro calderón díaz,Solar_Biomass_Production
213,Michael Scherer‐Lorenzen,0000-0001-9566-590X,https://openalex.org/A5077822997,michael schererlorenzen,Renewable_Energy_General
214,David E. Naugle,0000-0001-9286-9878,https://openalex.org/A5077888300,david e naugle,Wind_Energy_Impacts
215,M. Himken,,https://openalex.org/A5031488480,m himken,Solar_Biomass_Production
216,B. Millikan,,https://openalex.org/A5047219054,b millikan,Renewable_Energy_General
217,E. Schmidt,,https://openalex.org/A5112000382,e schmidt,Wind_Energy_Impacts
218,Michel Godet,,https://openalex.org/A5103791876,michel godet,Renewable_Energy_General
219,Lars R. Bergman,,https://openalex.org/A5105250430,lars r bergman,Renewable_Energy_General
220,Kenneth J. French,,https://openalex.org/A5043884803,kenneth j french,Renewable_Energy_General
221,George E. P. Box,,https://openalex.org/A5112669993,george e p box,Wind_Energy_Impacts
222,Maryam M. Kabir,,https://openalex.org/A5038604652,maryam m kabir,Renewable_Energy_General
223,Norbert Theiß,,https://openalex.org/A5036932347,norbert theiß,Renewable_Energy_General
224,Harry Roy,,https://openalex.org/A5079218221,harry roy,Renewable_Energy_General
225,Shoorabeer Paudyal,,https://openalex.org/A5026224696,shoorabeer paudyal,Renewable_Energy_General
226,Dinesh Kumar,0000-0001-7282-3274,https://openalex.org/A5101500582,dinesh kumar,Unknown
227,Iberahin Jusoh,,https://openalex.org/A5054744682,iberahin jusoh,Hydropower_Aquatic
228,E.P.D. Mansard,,https://openalex.org/A5002564230,epd mansard,Renewable_Energy_General
229,J. A. Chandler,,https://openalex.org/A5111995186,j a chandler,Wind_Energy_Impacts
230,David H. Wright,0000-0002-4168-4563,https://openalex.org/A5002054727,david h wright,Renewable_Energy_General
231,Robert L. Sanford,0000-0003-2391-9231,https://openalex.org/A5057342276,robert l sanford,Renewable_Energy_General
232,Pascal Dumas,0000-0001-7369-8989,https://openalex.org/A5008096596,pascal dumas,Hydropower_Aquatic
233,Yongqiang Tian,0000-0002-0519-2211,https://openalex.org/A5067987785,yongqiang tian,Renewable_Energy_General
234,Arun Kumar,0000-0002-4309-3396,https://openalex.org/A5045127324,arun kumar,Renewable_Energy_General
235,Martin D. Robards,,https://openalex.org/A5034569234,martin d robards,Hydropower_Aquatic
236,C.J. Voeroesmarty,,https://openalex.org/A5000383250,cj voeroesmarty,Renewable_Energy_General
237,David Lamb,0000-0002-0598-5369,https://openalex.org/A5029377181,david lamb,Solar_Biomass_Production
238,Þorvarður Árnason,0000-0002-4105-7869,https://openalex.org/A5004372959,þorvarður árnason,Renewable_Energy_General
239,Tristram O. West,0000-0001-7859-0125,https://openalex.org/A5081111714,tristram o west,Renewable_Energy_General
240,Fúlvia Martins Correia,,https://openalex.org/A5026244580,fúlvia martins correia,Renewable_Energy_General
241,Nawir A.A.,,https://openalex.org/A5113476099,nawir aa,Solar_Biomass_Production
242,Michael L. Zettler,0000-0002-5437-5495,https://openalex.org/A5061499632,michael l zettler,Renewable_Energy_General
243,Jie Lü,0000-0003-0690-4732,https://openalex.org/A5100675577,jie lü,Renewable_Energy_General
244,Stefanie Hähnlein,,https://openalex.org/A5056764736,stefanie hähnlein,Renewable_Energy_General
245,James C. Liao,0000-0003-0181-6995,https://openalex.org/A5042170810,james c liao,Wind_Energy_Impacts
246,John Vandermeer,0000-0002-3366-4343,https://openalex.org/A5031837160,john vandermeer,Land_Use_Bioenergy
247,Miriam Brandt,0000-0002-0490-9823,https://openalex.org/A5021845356,miriam brandt,Renewable_Energy_General
248,Janet Yanowitz,,https://openalex.org/A5081724483,janet yanowitz,Solar_Biomass_Production
249,Nathalie Sundqvist,,https://openalex.org/A5090587321,nathalie sundqvist,Renewable_Energy_General
250,Jannick Schmidt,0000-0003-3086-7118,https://openalex.org/A5016804437,jannick schmidt,Renewable_Energy_General
251,Christian Egenhofer,,https://openalex.org/A5110739473,christian egenhofer,Renewable_Energy_General
252,Richardo Raineri,,https://openalex.org/A5029037711,richardo raineri,Renewable_Energy_General
253,Julia Wiehe,0000-0002-1224-4825,https://openalex.org/A5035269178,julia wiehe,Renewable_Energy_General
254,Neville Ash,,https://openalex.org/A5052556230,neville ash,Renewable_Energy_General
255,Vadim Radaev,0000-0003-0152-1396,https://openalex.org/A5044153464,vadim radaev,Unknown
256,Mar Pérez–Fortes,0000-0002-1132-4014,https://openalex.org/A5011410692,mar pérezfortes,Renewable_Energy_General
257,John Maynard Smith,,https://openalex.org/A5108453556,john maynard smith,Wind_Energy_Impacts
258,Thomas Merck,,https://openalex.org/A5055369646,thomas merck,Wind_Energy_Impacts
259,Marc Palahí,0000-0002-5587-1597,https://openalex.org/A5064473693,marc palahí,Renewable_Energy_General
260,Easan Drury,,https://openalex.org/A5040714468,easan drury,Renewable_Energy_General
261,William J. Mitsch,0000-0001-8348-3172,https://openalex.org/A5050505502,william j mitsch,Renewable_Energy_General
262,Jean‐Pierre Caliman,0000-0001-8849-5420,https://openalex.org/A5062259439,jeanpierre caliman,Renewable_Energy_General
263,Michael E. Ostry,,https://openalex.org/A5090424648,michael e ostry,Renewable_Energy_General
264,Funda Ateş,0000-0002-6693-6093,https://openalex.org/A5028401218,funda ateş,Renewable_Energy_General
